Namespace(batch_size=32, dtype='float32', hard_weight=0.5, input_sz=112, label_smoothing=True, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v3.4', momentum=0.9, num_class=2, num_epochs=2500, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='', resume_states='', save_frequency=200, teacher='resnext50_32x4d', temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.519, loss: nan | Val-acc-top1: 0.499 | time: 7.2 | Speed: 235.63 samples/sec | lr: 0.01000000
[Epoch 13] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 716.42 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.3 | Speed: 723.68 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 718.13 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 716.79 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 710.17 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 714.56 samples/sec | lr: 0.00700000
[Epoch 19] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 715.59 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 710.09 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 715.22 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 717.56 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 710.12 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 721.07 samples/sec | lr: 0.00490000
[Epoch 25] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 714.44 samples/sec | lr: 0.00490000
[Epoch 26] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.3 | Speed: 725.90 samples/sec | lr: 0.00490000
[Epoch 27] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 708.98 samples/sec | lr: 0.00490000
[Epoch 28] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 710.59 samples/sec | lr: 0.00490000
[Epoch 29] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 718.68 samples/sec | lr: 0.00343000
[Epoch 30] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 717.41 samples/sec | lr: 0.00343000
[Epoch 31] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 715.06 samples/sec | lr: 0.00343000
[Epoch 32] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 710.41 samples/sec | lr: 0.00343000
[Epoch 33] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 714.95 samples/sec | lr: 0.00343000
[Epoch 34] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 715.81 samples/sec | lr: 0.00343000
[Epoch 35] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 712.76 samples/sec | lr: 0.00343000
[Epoch 36] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 715.43 samples/sec | lr: 0.00343000
[Epoch 37] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 720.96 samples/sec | lr: 0.00343000
[Epoch 38] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 712.06 samples/sec | lr: 0.00343000
[Epoch 39] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 717.29 samples/sec | lr: 0.00240100
[Epoch 40] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 712.76 samples/sec | lr: 0.00240100
[Epoch 41] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 721.22 samples/sec | lr: 0.00240100
[Epoch 42] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 717.54 samples/sec | lr: 0.00240100
[Epoch 43] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 715.74 samples/sec | lr: 0.00240100
[Epoch 44] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 711.71 samples/sec | lr: 0.00240100
[Epoch 45] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 709.75 samples/sec | lr: 0.00240100
[Epoch 46] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.3 | Speed: 722.88 samples/sec | lr: 0.00240100
[Epoch 47] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 708.63 samples/sec | lr: 0.00240100
[Epoch 48] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 709.84 samples/sec | lr: 0.00240100
[Epoch 49] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 718.70 samples/sec | lr: 0.00168070
[Epoch 50] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 712.98 samples/sec | lr: 0.00168070
[Epoch 51] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 712.28 samples/sec | lr: 0.00168070
[Epoch 52] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 709.78 samples/sec | lr: 0.00168070
[Epoch 53] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 714.28 samples/sec | lr: 0.00168070
[Epoch 54] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.4 | Speed: 706.54 samples/sec | lr: 0.00168070
[Epoch 55] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.5 | Speed: 683.31 samples/sec | lr: 0.00168070
[Epoch 56] Train-acc: 0.505, loss: nan | Val-acc-top1: 0.499 | time: 2.5 | Speed: 691.32 samples/sec | lr: 0.00168070
